Journal Title,Imprint,Print ISSN,Electronic ISSN,Journal URL,Publishing Model,License Options,Subject Areas
Policy Futures in Education,SAGE,1478-2103,1478-2103,https://journals.sagepub.com/loi/PFE,Hybrid,CC BY,Education
Policy Insights from the Behavioral and Brain Sciences,SAGE,2372-7322,2372-7330,https://journals.sagepub.com/loi/BBS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
"Policy, Politics, & Nursing Practice",SAGE,1527-1544,1552-7468,https://journals.sagepub.com/loi/PPN,Hybrid,CC BY,Nursing
Political Insight,SAGE,2041-9058,2041-9066,https://journals.sagepub.com/loi/PLI,Hybrid,CC BY,Political Science & International Relations
Political Research Quarterly,SAGE,1065-9129,1938-274X,https://journals.sagepub.com/loi/PRQ,Hybrid,CC BY,Political Science & International Relations
Political Studies,SAGE,0032-3217,1467-9248,https://journals.sagepub.com/loi/PSX,Hybrid,CC BY,Political Science & International Relations
Political Studies Review,SAGE,1478-9299,1478-9302,https://journals.sagepub.com/loi/PSW,Hybrid,CC BY,Political Science & International Relations
Political Theory,SAGE,0090-5917,1552-7476,https://journals.sagepub.com/loi/PTX,Hybrid,CC BY,Political Science & International Relations
Politics,SAGE,0263-3957,1467-9256,https://journals.sagepub.com/loi/POL,Hybrid,CC BY,Political Science & International Relations
Politics & Society,SAGE,0032-3292,1552-7514,https://journals.sagepub.com/loi/PAS,Hybrid,CC BY,Political Science & International Relations
"Politics, Philosophy & Economics",SAGE,1470-594X,1741-3060,https://journals.sagepub.com/loi/PPE,Hybrid,CC BY,Arts & Humanities
Polymers from Renewable Resources,SAGE,2041-2479,2045-1377,https://journals.sagepub.com/loi/PRR,Hybrid,CC BY,Materials Science & Engineering
Possibility Studies & Society,SAGE,2753-8699,2753-8699,https://journals.sagepub.com/loi/PST,Hybrid,CC BY,
Powder Metallurgy,SAGE,0032-5899,1743-2901,https://journals.sagepub.com/loi/PMG,Hybrid,CC BY,
Power and Education,SAGE,1757-7438,1757-7438,https://journals.sagepub.com/loi/PAE,Hybrid,CC BY,Education
Prajnan,SAGE,0970-8448,2978-431X,https://journals.sagepub.com/loi/PJN,Hybrid,CC BY,Business & Management
Primary Dental Journal,SAGE,2050-1684,2050-1692,https://journals.sagepub.com/loi/PRD,Hybrid,CCBY,
Pro Ecclesia,SAGE,1063-8512,2631-8334,https://journals.sagepub.com/loi/PRE,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Probation Journal,SAGE,0264-5505,1741-3079,https://journals.sagepub.com/loi/PRB,Hybrid,CC BY,Criminology & Criminal Justice
Proceedings of the Human Factors and Ergonomics Society Annual Meeting,SAGE,1071-1813,2169-5067,https://journals.sagepub.com/loi/PRO,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Proceedings of the International Symposium on Human Factors and Ergonomics in Health Care,SAGE,2327-8595,2327-8595,https://journals.sagepub.com/loi/HCS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Production and Operations Management,SAGE,1059-1478,1937-5956,https://journals.sagepub.com/loi/PAO,Hybrid,CC BY,
Professional School Counseling,SAGE,1096-2409,2156-759X,https://journals.sagepub.com/loi/PCX,Hybrid,CC BY,Education
Progress in Development Studies,SAGE,1464-9934,1477-027X,https://journals.sagepub.com/loi/PDJ,Hybrid,CC BY,Economics & Development Studies
Progress in Environmental Geography,SAGE,2753-9687,2753-9687,https://journals.sagepub.com/loi/PEG,Hybrid,CC BY,
Progress in Human Geography,SAGE,0309-1325,1477-0288,https://journals.sagepub.com/loi/PHG,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Progress in Physical Geography: Earth and Environment,SAGE,0309-1333,1477-0296,https://journals.sagepub.com/loi/PPG,Hybrid,CC BY,"Geography, Earth & Environmental Science"
"Progress in Rubber, Plastics and Recycling Technology",SAGE,1477-7606,1478-2413,https://journals.sagepub.com/loi/PRP,Hybrid,CC BY,Materials Science & Engineering
Progress in Transplantation,SAGE,1526-9248,2164-6708,https://journals.sagepub.com/loi/PIT,Hybrid,CC BY,Clinical Medicine
Project Management Journal,SAGE,8756-9728,1938-9507,https://journals.sagepub.com/loi/PMX,Hybrid,CC BY,Business & Management
Psychological Reports,SAGE,0033-2941,1558-691X,https://journals.sagepub.com/loi/PRX,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Psychological Science,SAGE,0956-7976,1467-9280,https://journals.sagepub.com/loi/PSS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Psychological Science in the Public Interest,SAGE,1529-1006,2160-0031,https://journals.sagepub.com/loi/PSI,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Psychology and Developing Societies,SAGE,0971-3336,0973-0761,https://journals.sagepub.com/loi/PDS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Psychology Learning & Teaching,SAGE,1475-7257,2057-3022,https://journals.sagepub.com/loi/PLJ,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Psychology of Music,SAGE,0305-7356,1741-3087,https://journals.sagepub.com/loi/POM,Hybrid,CC BY,Education
Psychology of Women Quarterly,SAGE,0361-6843,1471-6402,https://journals.sagepub.com/loi/PWQ,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
PsyEcology,SAGE,2171-1976,1989-9386,https://journals.sagepub.com/loi/PSE,Hybrid,CC BY,
Public Administration Quarterly,SAGE,0734-9149,2327-4433,https://journals.sagepub.com/loi/PAQ,Hybrid,CC BY,
Public Finance and Management,SAGE,1523-9721,1523-9721,https://journals.sagepub.com/loi/PFM,Hybrid,CC BY,
Public Finance Review,SAGE,1091-1421,1552-7530,https://journals.sagepub.com/loi/PFR,Hybrid,CC BY,Economics & Development Studies
Public Health Reports®,SAGE,0033-3549,1468-2877,https://journals.sagepub.com/loi/PHR,Hybrid,CC BY,Public Health
Public Personnel Management,SAGE,0091-0260,1945-7421,https://journals.sagepub.com/loi/PPM,Hybrid,CC BY,Political Science & International Relations
Public Policy and Administration,SAGE,0952-0767,1749-4192,https://journals.sagepub.com/loi/PPA,Hybrid,CC BY,Political Science & International Relations
Public Relations Inquiry,SAGE,2046-147X,2046-1488,https://journals.sagepub.com/loi/PRI,Hybrid,CC BY,Cultural Studies
Public Understanding of Science,SAGE,0963-6625,1361-6609,https://journals.sagepub.com/loi/PUS,Hybrid,CC BY,Science & Society Studies
Public Works Management & Policy,SAGE,1087-724X,1552-7549,https://journals.sagepub.com/loi/PWM,Hybrid,CC BY,Political Science & International Relations
Punishment & Society,SAGE,1462-4745,1741-3095,https://journals.sagepub.com/loi/PUN,Hybrid,CC BY,Criminology & Criminal Justice
Qualitative Health Research,SAGE,1049-7323,1552-7557,https://journals.sagepub.com/loi/QHR,Hybrid,CC BY,Other Health Specialties
Qualitative Inquiry,SAGE,1077-8004,1552-7565,https://journals.sagepub.com/loi/QIX,Hybrid,CC BY,Research Methods & Evaluation
Qualitative Research,SAGE,1468-7941,1741-3109,https://journals.sagepub.com/loi/QRJ,Hybrid,CC BY,Research Methods & Evaluation
Qualitative Social Work,SAGE,1473-3250,1741-3117,https://journals.sagepub.com/loi/QSW,Hybrid,CC BY,Social Work & Social Policy
Quantum Economics and Finance,SAGE,2976-7032,2976-7040,https://journals.sagepub.com/loi/QEF,Hybrid,CC BY,
Quarterly Journal of Experimental Psychology,SAGE,1747-0218,1747-0226,https://journals.sagepub.com/loi/QJP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Race & Class,SAGE,0306-3968,1741-3125,https://journals.sagepub.com/loi/RAC,Hybrid,CCBY,Area & Ethnic Studies
Race and Justice,SAGE,2153-3687,2153-3687,https://journals.sagepub.com/loi/RAJ,Hybrid,CC BY,Criminology & Criminal Justice
Rationality and Society,SAGE,1043-4631,1461-7358,https://journals.sagepub.com/loi/RSS,Hybrid,CC BY,Sociology
Recherche et Applications en Marketing (English Edition),SAGE,2051-5707,2051-5707,https://journals.sagepub.com/loi/RME,Hybrid,CC BY,Business & Management
Recherche et Applications en Marketing (French Edition),SAGE,0767-3701,2051-2821,https://journals.sagepub.com/loi/RAM,Hybrid,CC BY,Business & Management
Recreational Sports Journal,SAGE,1558-8661,1558-867X,https://journals.sagepub.com/loi/RSJ,Hybrid,CC BY,Education
Rehabilitation Counseling Bulletin,SAGE,0034-3552,1538-4853,https://journals.sagepub.com/loi/RCB,Hybrid,CC BY,Education
RELC Journal,SAGE,0033-6882,1745-526X,https://journals.sagepub.com/loi/REL,Hybrid,CC BY,Language & Linguistics
Remedial and Special Education,SAGE,0741-9325,1538-4756,https://journals.sagepub.com/loi/RSE,Hybrid,CC BY,Education
Research and Practice for Persons with Severe Disabilities,SAGE,1540-7969,2169-2408,https://journals.sagepub.com/loi/RPS,Hybrid,CC BY,Education
Research Ethics,SAGE,1747-0161,2047-6094,https://journals.sagepub.com/loi/REA,Hybrid,CC BY,Research Methods & Evaluation
Research in Comparative and International Education,SAGE,1745-4999,1745-4999,https://journals.sagepub.com/loi/RCI,Hybrid,CC BY,Education
Research in Education,SAGE,0034-5237,2050-4608,https://journals.sagepub.com/loi/RIE,Hybrid,CC BY,Education
Research Methods in Medicine & Health Sciences,SAGE,2632-0843,2632-0843,https://journals.sagepub.com/loi/RMM,Hybrid,CC BY,Clinical Medicine
Research on Aging,SAGE,0164-0275,1552-7573,https://journals.sagepub.com/loi/ROA,Hybrid,CC BY,Aging & Gerontology
Research on Social Work Practice,SAGE,1049-7315,1552-7581,https://journals.sagepub.com/loi/RSW,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Research Studies in Music Education,SAGE,1321-103X,1834-5530,https://journals.sagepub.com/loi/RSM,Hybrid,CC BY,Arts & Humanities
Restorative Neurology and Neuroscience,SAGE,0922-6028,1878-3627,https://journals.sagepub.com/loi/RNN,Hybrid,CC BY,Clinical Medicine
Review & Expositor,SAGE,0034-6373,2052-9449,https://journals.sagepub.com/loi/RAE,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Review of Development and Change,SAGE,0972-2661,2632-055X,https://journals.sagepub.com/loi/RDC,Hybrid,CC BY,Economics & Development Studies
Review of Educational Research,SAGE,0034-6543,1935-1046,https://journals.sagepub.com/loi/RER,Hybrid,CC BY,Education
Review of General Psychology,SAGE,1089-2680,1939-1552,https://journals.sagepub.com/loi/RGP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Review of Market Integration,SAGE,0974-9292,0975-4709,https://journals.sagepub.com/loi/RMI,Hybrid,CC BY,Economics & Development Studies
Review of Public Personnel Administration,SAGE,0734-371X,1552-759X,https://journals.sagepub.com/loi/ROP,Hybrid,CC BY,Political Science & International Relations
Review of Radical Political Economics,SAGE,0486-6134,1552-8502,https://journals.sagepub.com/loi/RRP,Hybrid,CC BY,Economics & Development Studies
Review of Religious Research,SAGE,0034-673X,2211-4866,https://journals.sagepub.com/loi/RRR,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Review of Research in Education,SAGE,0091-732X,1935-1038,https://journals.sagepub.com/loi/RRE,Hybrid,CC BY,Education
Risk and Decision Analysis,SAGE,1569-7371,1875-9173,https://journals.sagepub.com/loi/RDA,Hybrid,CC BY,Business & Management
Rural Special Education Quarterly,SAGE,8756-8705,2168-8605,https://journals.sagepub.com/loi/RSQ,Hybrid,CC BY,Education
Scandinavian Journal of Public Health,SAGE,1403-4948,1651-1905,https://journals.sagepub.com/loi/SJP,Hybrid,CC BY,Public Health
School Psychology International,SAGE,0143-0343,1461-7374,https://journals.sagepub.com/loi/SPI,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Science & Society,SAGE,0036-8237,1943-2801,https://journals.sagepub.com/loi/SSO,Hybrid,CC BY,Political Science & International Relations
Science and Technology of Welding and Joining,SAGE,1362-1718,1743-2936,https://journals.sagepub.com/loi/STW,Hybrid,CCBY,
Science Communication,SAGE,1075-5470,1552-8545,https://journals.sagepub.com/loi/SCX,Hybrid,CC BY,Communication & Media Studies
"Science, Technology and Society",SAGE,0971-7218,0973-0796,https://journals.sagepub.com/loi/STS,Hybrid,CC BY,Sociology
"Science, Technology, & Human Values",SAGE,0162-2439,1552-8251,https://journals.sagepub.com/loi/STH,Hybrid,CC BY,Science & Society Studies
Scottish Medical Journal,SAGE,0036-9330,2045-6441,https://journals.sagepub.com/loi/SCM,Hybrid,CC BY,
Second Language Research,SAGE,0267-6583,1477-0326,https://journals.sagepub.com/loi/SLR,Hybrid,CC BY,Language & Linguistics
"SEDME (Small Enterprises Development, Management & Extension Journal)",SAGE,0970-8464,2456-1223,https://journals.sagepub.com/loi/SDE,Hybrid,CC BY,Economics & Development Studies
Seminars in Cardiothoracic and Vascular Anesthesia,SAGE,1089-2532,1940-5596,https://journals.sagepub.com/loi/SCV,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Sex & Sexualities,SAGE,3033-3717,3033-3717,https://journals.sagepub.com/loi/SNS,Hybrid,CC BY,Sociology
Sexual Abuse,SAGE,1079-0632,1573-286X,https://journals.sagepub.com/loi/SAX,Hybrid,CC BY,Criminology & Criminal Justice
Sexualities,SAGE,1363-4607,1461-7382,https://journals.sagepub.com/loi/SEX,Hybrid,CC BY,Sociology
Shoulder & Elbow,SAGE,1758-5732,1758-5740,https://journals.sagepub.com/loi/SEL,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
SIMULATION,SAGE,0037-5497,1741-3133,https://journals.sagepub.com/loi/SIM,Hybrid,CC BY,Materials Science & Engineering
Simulation & Gaming,SAGE,1046-8781,1552-826X,https://journals.sagepub.com/loi/SAG,Hybrid,CC BY,Science & Society Studies
Small Group Research,SAGE,1046-4964,1552-8278,https://journals.sagepub.com/loi/SGR,Hybrid,CC BY,Business & Management
Social & Legal Studies,SAGE,0964-6639,1461-7390,https://journals.sagepub.com/loi/SLS,Hybrid,CC BY,Criminology & Criminal Justice
Social Change,SAGE,0049-0857,0976-3538,https://journals.sagepub.com/loi/SCH,Hybrid,CCBY,Economics & Development Studies
Social Compass,SAGE,0037-7686,1461-7404,https://journals.sagepub.com/loi/SCP,Hybrid,CC BY,Sociology
Social Currents,SAGE,2329-4965,2329-4973,https://journals.sagepub.com/loi/SCU,Hybrid,CC BY,Sociology
Social Marketing Quarterly,SAGE,1524-5004,1539-4093,https://journals.sagepub.com/loi/SMQ,Hybrid,CC BY,Marketing & Hospitality
Social Psychological and Personality Science,SAGE,1948-5506,1948-5514,https://journals.sagepub.com/loi/SPP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Social Psychology Quarterly,SAGE,0190-2725,1939-8999,https://journals.sagepub.com/loi/SPQ,Hybrid,CC BY,Sociology
Social Science Computer Review,SAGE,0894-4393,1552-8286,https://journals.sagepub.com/loi/SSC,Hybrid,CC BY,Science & Society Studies
Social Science Information,SAGE,0539-0184,1461-7412,https://journals.sagepub.com/loi/SSI,Hybrid,CC BY,Anthropology & Archaeology
Social Studies of Science,SAGE,0306-3127,1460-3659,https://journals.sagepub.com/loi/SSS,Hybrid,CC BY,Science & Society Studies
Society and Culture in South Asia,SAGE,2393-8617,2394-9872,https://journals.sagepub.com/loi/SCS,Hybrid,CC BY,Sociology
Society and Mental Health,SAGE,2156-8693,2156-8731,https://journals.sagepub.com/loi/SMH,Hybrid,CC BY,Sociology
Sociological Bulletin,SAGE,0038-0229,2457-0257,https://journals.sagepub.com/loi/SOB,Hybrid,CC BY,Sociology
Sociological Methodology,SAGE,0081-1750,1467-9531,https://journals.sagepub.com/loi/SMX,Hybrid,CC BY,Sociology
Sociological Methods & Research,SAGE,0049-1241,1552-8294,https://journals.sagepub.com/loi/SMR,Hybrid,CC BY,Research Methods & Evaluation
Sociological Perspectives,SAGE,0731-1214,1533-8673,https://journals.sagepub.com/loi/SPX,Hybrid,CC BY,Sociology
Sociological Research Online,SAGE,1360-7804,1360-7804,https://journals.sagepub.com/loi/SRO,Hybrid,CC BY,Sociology
Sociological Theory,SAGE,0735-2751,1467-9558,https://journals.sagepub.com/loi/STX,Hybrid,CC BY,Sociology
Sociology,SAGE,0038-0385,1469-8684,https://journals.sagepub.com/loi/SOC,Hybrid,CC BY,Sociology
Sociology of Education,SAGE,0038-0407,1939-8573,https://journals.sagepub.com/loi/SOE,Hybrid,CC BY,Sociology
Sociology of Race and Ethnicity,SAGE,2332-6492,2332-6506,https://journals.sagepub.com/loi/SRE,Hybrid,CC BY,Sociology
South African Journal of Psychology,SAGE,0081-2463,2078-8208,https://journals.sagepub.com/loi/SAP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
South Asia Economic Journal,SAGE,1391-5614,0973-077X,https://journals.sagepub.com/loi/SAE,Hybrid,CCBY,Area & Ethnic Studies
South Asia Research,SAGE,0262-7280,1741-3141,https://journals.sagepub.com/loi/SAR,Hybrid,CC BY,Area & Ethnic Studies
South Asian Journal of Business and Management Cases,SAGE,2277-9779,2321-0303,https://journals.sagepub.com/loi/BMC,Hybrid,CC BY,Business & Management
South Asian Journal of Human Resources Management,SAGE,2322-0937,2349-5790,https://journals.sagepub.com/loi/HRM,Hybrid,CC BY,Business & Management
South Asian Journal of Macroeconomics and Public Finance,SAGE,2277-9787,2321-0273,https://journals.sagepub.com/loi/SMP,Hybrid,CC BY,Economics & Development Studies
South Asian Survey,SAGE,0971-5231,0973-0788,https://journals.sagepub.com/loi/SAS,Hybrid,CC BY,Area & Ethnic Studies
Space and Culture,SAGE,1206-3312,1552-8308,https://journals.sagepub.com/loi/SAC,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Sport Marketing Quarterly,SAGE,1061-6934,1557-2528,https://journals.sagepub.com/loi/QSM,Hybrid,CCBY,Business & Management
Sports Health,SAGE,1941-7381,1941-0921,https://journals.sagepub.com/loi/SPH,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
State and Local Government Review,SAGE,0160-323X,1943-3409,https://journals.sagepub.com/loi/SLG,Hybrid,CC BY,Political Science & International Relations
Statistical Journal of the IAOS,SAGE,1874-7655,1875-9254,https://journals.sagepub.com/loi/SJI,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Statistical Methods in Medical Research,SAGE,0962-2802,1477-0334,https://journals.sagepub.com/loi/SMM,Hybrid,CC BY,Clinical Medicine
Statistical Modelling,SAGE,1471-082X,1477-0342,https://journals.sagepub.com/loi/SMJ,Hybrid,CC BY,Research Methods & Evaluation
Strategic Organization,SAGE,1476-1270,1741-315X,https://journals.sagepub.com/loi/SOQ,Hybrid,CC BY,Business & Management
"Strength, Fracture and Complexity",SAGE,1567-2069,1875-9262,https://journals.sagepub.com/loi/SFC,Hybrid,CC BY,Materials Science & Engineering
String Research Journal,SAGE,1948-4992,2164-0661,https://journals.sagepub.com/loi/SRJ,Hybrid,CC BY,Education
Structural Health Monitoring,SAGE,1475-9217,1741-3168,https://journals.sagepub.com/loi/SHM,Hybrid,CC BY,Materials Science & Engineering
Studia Liturgica,SAGE,0039-3207,2517-4797,https://journals.sagepub.com/loi/STL,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Studies in Christian Ethics,SAGE,0953-9468,1745-5235,https://journals.sagepub.com/loi/SCE,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Studies in History,SAGE,0257-6430,0973-080X,https://journals.sagepub.com/loi/SIH,Hybrid,CC BY,History
Studies in Indian Politics,SAGE,2321-0230,2321-7472,https://journals.sagepub.com/loi/INP,Hybrid,CC BY,Political Science & International Relations
Studies in Microeconomics,SAGE,2321-0222,2321-8398,https://journals.sagepub.com/loi/MIC,Hybrid,CC BY,Economics & Development Studies
Studies in People’s History,SAGE,2348-4489,2349-7718,https://journals.sagepub.com/loi/SIP,Hybrid,CC BY,History
Studies in Psychology,SAGE,0210-9395,1579-3699,https://journals.sagepub.com/loi/STP,Hybrid,CC BY,
Studies in Religion/Sciences Religieuses,SAGE,0008-4298,2042-0587,https://journals.sagepub.com/loi/SIR,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Substance Use & Addiction Journal,SAGE,2976-7342,2976-7350,https://journals.sagepub.com/loi/SAJ,Hybrid,CC BY,
Surface Engineering,SAGE,0267-0844,1743-2944,https://journals.sagepub.com/loi/SEN,Hybrid,CC BY,
Surgical Innovation,SAGE,1553-3506,1553-3514,https://journals.sagepub.com/loi/SRI,Hybrid,CC BY,Clinical Medicine
Teacher Education and Special Education,SAGE,0888-4064,1944-4931,https://journals.sagepub.com/loi/TES,Hybrid,CC BY,Education
Teachers College Record,SAGE,0161-4681,1467-9620,https://journals.sagepub.com/loi/TCZ,Hybrid,CC BY,Education
TEACHING Exceptional Children,SAGE,0040-0599,2163-5684,https://journals.sagepub.com/loi/TCX,Hybrid,CC BY,Education
Teaching of Psychology,SAGE,0098-6283,1532-8023,https://journals.sagepub.com/loi/TOP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Teaching Public Administration,SAGE,0144-7394,2047-8720,https://journals.sagepub.com/loi/TPA,Hybrid,CC BY,Political Science & International Relations
Teaching Sociology,SAGE,0092-055X,1939-862X,https://journals.sagepub.com/loi/TSO,Hybrid,CC BY,Sociology
Technology and Disability,SAGE,1055-4181,1878-643X,https://journals.sagepub.com/loi/TAD,Hybrid,CC BY,Other Health Specialties
Technology and Health Care,SAGE,0928-7329,1878-7401,https://journals.sagepub.com/loi/THC,Hybrid,CC BY,Life & Biomedical Sciences
Television & New Media,SAGE,1527-4764,1552-8316,https://journals.sagepub.com/loi/TVN,Hybrid,CC BY,Communication & Media Studies
Textile Research Journal,SAGE,0040-5175,1746-7748,https://journals.sagepub.com/loi/TRJ,Hybrid,CCBY,Materials Science & Engineering
The American Economist,SAGE,0569-4345,2328-1235,https://journals.sagepub.com/loi/AEX,Hybrid,CC BY,Economics & Development Studies
The American Journal of Cosmetic Surgery,SAGE,0748-8068,2374-7722,https://journals.sagepub.com/loi/ACS,Hybrid,CC BY,Clinical Medicine
The American Journal of Sports Medicine,SAGE,0363-5465,1552-3365,https://journals.sagepub.com/loi/AJS,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
The American Review of Public Administration,SAGE,0275-0740,1552-3357,https://journals.sagepub.com/loi/ARP,Hybrid,CC BY,Political Science & International Relations
The American Surgeon™,SAGE,0003-1348,1555-9823,https://journals.sagepub.com/loi/ASU,Hybrid,CC BY,
The ANNALS of the American Academy of Political and Social Science,SAGE,0002-7162,1552-3349,https://journals.sagepub.com/loi/ANN,Hybrid,CC BY,Political Science & International Relations
The Anthropocene Review,SAGE,2053-0196,2053-020X,https://journals.sagepub.com/loi/ANR,Hybrid,CC BY,"Geography, Earth & Environmental Science"
The Antitrust Bulletin,SAGE,0003-603X,1930-7969,https://journals.sagepub.com/loi/ABX,Hybrid,CC BY,Criminology & Criminal Justice
The Bible Translator,SAGE,2051-6770,2051-6789,https://journals.sagepub.com/loi/TBT,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
The British Journal of Politics and International Relations,SAGE,1369-1481,1467-856X,https://journals.sagepub.com/loi/BPI,Hybrid,CC BY,Political Science & International Relations
The Canadian Journal of Psychiatry,SAGE,0706-7437,1497-0015,https://journals.sagepub.com/loi/CPA,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
The Cleft Palate Craniofacial Journal,SAGE,1055-6656,1545-1569,https://journals.sagepub.com/loi/CPC,Hybrid,CC BY,Clinical Medicine
The Counseling Psychologist,SAGE,0011-0000,1552-3861,https://journals.sagepub.com/loi/TCP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
The Downside Review,SAGE,0012-5806,2397-3498,https://journals.sagepub.com/loi/TDR,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
The Energy Journal,SAGE,0195-6574,1944-9089,https://journals.sagepub.com/loi/ENJ,Hybrid,CC BY,
The European Journal on Artificial Intelligence,SAGE,3050-4554,3050-4546,https://journals.sagepub.com/loi/EAI,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
The Expository Times,SAGE,0014-5246,1745-5308,https://journals.sagepub.com/loi/EXT,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
The Family Journal,SAGE,1066-4807,1552-3950,https://journals.sagepub.com/loi/TFJ,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
The Holocene,SAGE,0959-6836,1477-0911,https://journals.sagepub.com/loi/HOL,Hybrid,CC BY,"Geography, Earth & Environmental Science"
The Indian Economic and Social History Review,SAGE,0019-4646,0973-0893,https://journals.sagepub.com/loi/IER,Hybrid,CC BY,Area & Ethnic Studies
The Indian Economic Journal,SAGE,0019-4662,2631-617X,https://journals.sagepub.com/loi/IEJ,Hybrid,CC BY,Economics & Development Studies
The International Journal of Aging and Human Development,SAGE,0091-4150,1541-3535,https://journals.sagepub.com/loi/AHD,Hybrid,CC BY,Aging & Gerontology
The International Journal of Artificial Organs,SAGE,0391-3988,1724-6040,https://journals.sagepub.com/loi/JAO,Hybrid,CC BY,Clinical Medicine
The International Journal of Community and Social Development,SAGE,2516-6026,2516-6034,https://journals.sagepub.com/loi/COD,Hybrid,CC BY,Economics & Development Studies
The International Journal of Entrepreneurship and Innovation,SAGE,1465-7503,2043-6882,https://journals.sagepub.com/loi/IEI,Hybrid,CC BY,Business & Management
The International Journal of Evidence & Proof,SAGE,1365-7127,1740-5572,https://journals.sagepub.com/loi/EPJ,Hybrid,CCBY,Criminology & Criminal Justice
The International Journal of High Performance Computing Applications,SAGE,1094-3420,1741-2846,https://journals.sagepub.com/loi/HPC,Hybrid,CC BY,Materials Science & Engineering
The International Journal of Lower Extremity Wounds,SAGE,1534-7346,1552-6941,https://journals.sagepub.com/loi/IJL,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
The International Journal of Press/Politics,SAGE,1940-1612,1940-1620,https://journals.sagepub.com/loi/HIJ,Hybrid,CC BY,Communication & Media Studies
The International Journal of Psychiatry in Medicine,SAGE,0091-2174,1541-3527,https://journals.sagepub.com/loi/IJP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
The International Journal of Robotics Research,SAGE,0278-3649,1741-3176,https://journals.sagepub.com/loi/IJR,Hybrid,CC BY,Materials Science & Engineering
The Journal of Applied Behavioral Science,SAGE,0021-8863,1552-6879,https://journals.sagepub.com/loi/JAB,Hybrid,CC BY,Business & Management
The Journal of Criminal Law,SAGE,0022-0183,1740-5580,https://journals.sagepub.com/loi/CLJ,Hybrid,CC BY,Criminology & Criminal Justice
The Journal of Defense Modeling and Simulation,SAGE,1548-5129,1557-380X,https://journals.sagepub.com/loi/DMS,Hybrid,CC BY,Materials Science & Engineering
The Journal of Early Adolescence,SAGE,0272-4316,1552-5449,https://journals.sagepub.com/loi/JEA,Hybrid,CC BY,Sociology
The Journal of Egyptian Archaeology,SAGE,0307-5133,2514-0582,https://journals.sagepub.com/loi/EGA,Hybrid,CC BY,Anthropology & Archaeology
The Journal of Entrepreneurship,SAGE,0971-3557,0973-0745,https://journals.sagepub.com/loi/JOE,Hybrid,CC BY,Business & Management
The Journal of Environment & Development,SAGE,1070-4965,1552-5465,https://journals.sagepub.com/loi/JED,Hybrid,CC BY,Political Science & International Relations
The Journal of Men’s Studies,SAGE,1060-8265,1933-0251,https://journals.sagepub.com/loi/MEN,Hybrid,CC BY,Sociology
The Journal of School Nursing,SAGE,1059-8405,1546-8364,https://journals.sagepub.com/loi/JSN,Hybrid,CC BY,Nursing
The Journal of Social Studies Research,SAGE,0885-985X,2352-2798,https://journals.sagepub.com/loi/SSR,Hybrid,CC BY,Education
The Journal of Special Education,SAGE,0022-4669,1538-4764,https://journals.sagepub.com/loi/SED,Hybrid,CC BY,Education
The Journal of Strain Analysis for Engineering Design,SAGE,0309-3247,2041-3130,https://journals.sagepub.com/home/jsa,Hybrid,CCBY,
The Journal of Transport History,SAGE,0022-5266,1759-3999,https://journals.sagepub.com/loi/JTH,Hybrid,CC BY,History
